,name,athlete_id,gender,score,active,country,rank,price,is_team,links.self,links.results
0,KARLSSON Frida,3506154,f,320,True,SWE,1,14149,False,https://www.fantasyxc.se/api/athletes/3506154,https://www.fantasyxc.se/api/athletes/3506154/results
1,JOHAUG Therese,3425301,f,260,True,NOR,2,17338,False,https://www.fantasyxc.se/api/athletes/3425301,https://www.fantasyxc.se/api/athletes/3425301/results
2,KLAEBO Johannes Hoesflot,3422819,m,231,True,NOR,1,17695,False,https://www.fantasyxc.se/api/athletes/3422819,https://www.fantasyxc.se/api/athletes/3422819/results
3,BOLSHUNOV Alexander,3482277,m,228,True,RUS,2,19232,False,https://www.fantasyxc.se/api/athletes/3482277,https://www.fantasyxc.se/api/athletes/3482277/results
4,BRENNAN Rosie,3535316,f,206,True,USA,3,8317,False,https://www.fantasyxc.se/api/athletes/3535316,https://www.fantasyxc.se/api/athletes/3535316/results
5,NORWAY I,100069,m,200,True,NOR,3,22919,True,https://www.fantasyxc.se/api/athletes/100069,https://www.fantasyxc.se/api/athletes/100069/results
6,RUSSIA I,3485975,f,200,True,RUS,4,19271,True,https://www.fantasyxc.se/api/athletes/3485975,https://www.fantasyxc.se/api/athletes/3485975/results
7,DAHLQVIST Maja,3505800,f,200,True,SWE,4,8768,False,https://www.fantasyxc.se/api/athletes/3505800,https://www.fantasyxc.se/api/athletes/3505800/results
8,CHERVOTKIN Alexey,3482119,m,162,True,RUS,4,5103,False,https://www.fantasyxc.se/api/athletes/3482119,https://www.fantasyxc.se/api/athletes/3482119/results
9,RUSSIA II,193053,m,160,True,RUS,5,7074,True,https://www.fantasyxc.se/api/athletes/193053,https://www.fantasyxc.se/api/athletes/193053/results
10,SWEDEN I,3505793,f,160,True,SWE,6,22235,True,https://www.fantasyxc.se/api/athletes/3505793,https://www.fantasyxc.se/api/athletes/3505793/results
11,USTIUGOV Sergey,3481539,m,150,True,RUS,6,7035,False,https://www.fantasyxc.se/api/athletes/3481539,https://www.fantasyxc.se/api/athletes/3481539/results
12,DIGGINS Jessie,3535410,f,145,True,USA,7,12202,False,https://www.fantasyxc.se/api/athletes/3535410,https://www.fantasyxc.se/api/athletes/3535410/results
13,VALNES Erik,3422619,m,142,True,NOR,7,7008,False,https://www.fantasyxc.se/api/athletes/3422619,https://www.fantasyxc.se/api/athletes/3422619/results
14,ANDERSSON Ebba,3505990,f,126,True,SWE,8,12309,False,https://www.fantasyxc.se/api/athletes/3505990,https://www.fantasyxc.se/api/athletes/3505990/results
15,JOUVE Richard,3190345,m,123,True,FRA,8,3784,False,https://www.fantasyxc.se/api/athletes/3190345,https://www.fantasyxc.se/api/athletes/3190345/results
16,NOVAK Michal,3150570,m,123,True,CZE,8,1539,False,https://www.fantasyxc.se/api/athletes/3150570,https://www.fantasyxc.se/api/athletes/3150570/results
17,TERENTEV Alexander,3482806,m,120,True,RUS,10,3570,False,https://www.fantasyxc.se/api/athletes/3482806,https://www.fantasyxc.se/api/athletes/3482806/results
18,NORWAY I,3425825,f,120,True,NOR,9,20456,True,https://www.fantasyxc.se/api/athletes/3425825,https://www.fantasyxc.se/api/athletes/3425825/results
19,NORWAY II,74612,m,120,True,NOR,10,1415,True,https://www.fantasyxc.se/api/athletes/74612,https://www.fantasyxc.se/api/athletes/74612/results
20,HENNIG Katharina,3205460,f,119,True,DEU,10,5083,False,https://www.fantasyxc.se/api/athletes/3205460,https://www.fantasyxc.se/api/athletes/3205460/results
21,NEPRYAEVA Natalia,3486010,f,119,True,RUS,10,9229,False,https://www.fantasyxc.se/api/athletes/3486010,https://www.fantasyxc.se/api/athletes/3486010/results
22,PARMAKOSKI Krista,3185256,f,115,True,FIN,12,6642,False,https://www.fantasyxc.se/api/athletes/3185256,https://www.fantasyxc.se/api/athletes/3185256/results
