,rank,country,price,score,active,athlete_id,is_team,name,gender,links.self,links.results
0,1,NOR,17461,411,True,3422819,False,KLAEBO Johannes Hoesflot,m,https://www.fantasyxc.se/api/athletes/3422819,https://www.fantasyxc.se/api/athletes/3422819/results
1,1,SWE,14816,380,True,3506154,False,KARLSSON Frida,f,https://www.fantasyxc.se/api/athletes/3506154,https://www.fantasyxc.se/api/athletes/3506154/results
2,2,NOR,15861,360,True,3425301,False,JOHAUG Therese,f,https://www.fantasyxc.se/api/athletes/3425301,https://www.fantasyxc.se/api/athletes/3425301/results
3,3,SWE,10639,307,True,3505800,False,DAHLQVIST Maja,f,https://www.fantasyxc.se/api/athletes/3505800,https://www.fantasyxc.se/api/athletes/3505800/results
4,4,USA,9782,306,True,3535316,False,BRENNAN Rosie,f,https://www.fantasyxc.se/api/athletes/3535316,https://www.fantasyxc.se/api/athletes/3535316/results
5,2,RUS,7231,290,True,3481539,False,USTIUGOV Sergey,m,https://www.fantasyxc.se/api/athletes/3481539,https://www.fantasyxc.se/api/athletes/3481539/results
6,3,RUS,18092,250,True,3482277,False,BOLSHUNOV Alexander,m,https://www.fantasyxc.se/api/athletes/3482277,https://www.fantasyxc.se/api/athletes/3482277/results
7,5,USA,11933,237,True,3535410,False,DIGGINS Jessie,f,https://www.fantasyxc.se/api/athletes/3535410,https://www.fantasyxc.se/api/athletes/3535410/results
8,4,NOR,7003,200,True,3421779,False,KRUEGER Simen Hegstad,m,https://www.fantasyxc.se/api/athletes/3421779,https://www.fantasyxc.se/api/athletes/3421779/results
9,6,RUS,18872,200,True,3485975,True,RUSSIA I,f,https://www.fantasyxc.se/api/athletes/3485975,https://www.fantasyxc.se/api/athletes/3485975/results
10,4,NOR,23607,200,True,100069,True,NORWAY I,m,https://www.fantasyxc.se/api/athletes/100069,https://www.fantasyxc.se/api/athletes/100069/results
11,6,NOR,7015,192,True,3422619,False,VALNES Erik,m,https://www.fantasyxc.se/api/athletes/3422619,https://www.fantasyxc.se/api/athletes/3422619/results
12,7,FRA,5136,183,True,3190345,False,JOUVE Richard,m,https://www.fantasyxc.se/api/athletes/3190345,https://www.fantasyxc.se/api/athletes/3190345/results
13,7,CHE,5998,177,True,3515221,False,FAEHNDRICH Nadine,f,https://www.fantasyxc.se/api/athletes/3515221,https://www.fantasyxc.se/api/athletes/3515221/results
14,8,RUS,5514,176,True,3482119,False,CHERVOTKIN Alexey,m,https://www.fantasyxc.se/api/athletes/3482119,https://www.fantasyxc.se/api/athletes/3482119/results
15,8,RUS,8151,169,True,3486010,False,NEPRYAEVA Natalia,f,https://www.fantasyxc.se/api/athletes/3486010,https://www.fantasyxc.se/api/athletes/3486010/results
16,9,RUS,7808,160,True,193053,True,RUSSIA II,m,https://www.fantasyxc.se/api/athletes/193053,https://www.fantasyxc.se/api/athletes/193053/results
17,9,SWE,22810,160,True,3505793,True,SWEDEN I,f,https://www.fantasyxc.se/api/athletes/3505793,https://www.fantasyxc.se/api/athletes/3505793/results
