,name,id,price,sex,points,elo,elo1,race1,elo2,race2,place
68,Alexander BOLSHUNOV,3482277,19232,m,56.0503123721552,1702.07680806315,1676.9454469913,23.8631759236094,1702.07680806315,32.1871364485458,1
54,Johannes Hoesflot KLAEBO,3422819,17695,m,52.0358780540145,1593.32109632192,1753.36804181654,37.5893226855443,1593.32109632192,14.4465553684702,2
51,Simen Hegstad KRUEGER,3421779,5854,m,36.0990260611233,1720.43962491366,1462.88695743459,0,1720.43962491366,36.0990260611233,3
45,Hans Christer HOLUND,3420586,7688,m,32.1358183454597,1701.82677809564,1323.5917321226,0,1701.82677809564,32.1358183454597,4
38,Federico PELLEGRINO,3290326,8099,m,24.5394255502433,1490.22914956854,1681.28581488007,24.5394255502433,1490.22914956854,0,5
9,Michal NOVAK,3150570,1539,m,10.6189965784319,1625.60634713004,1568.74265031929,10.6189965784319,1625.60634713004,0,6
24,Richard JOUVE,3190345,3784,m,28.0255474207377,1251.88357602505,1702.53924655057,28.0255474207377,1251.88357602505,0,7
46,Sjur ROETHE,3420605,5112,m,26.1653703915986,1670.81697178212,1340.61287666636,0,1670.81697178212,26.1653703915986,8
63,Artem MALTSEV,3481432,4488,m,24.0000557262645,1600.0300672066,1546.79373039274,8.70805691529572,1600.0300672066,15.2919988109688,9
64,Sergey USTIUGOV,3481539,7035,m,23.0757776451542,1600.74300549067,1533.8619866913,7.69214470053867,1600.74300549067,15.3836329446155,10
50,Haavard Solaas TAUGBOEL,3421754,2651,m,22.8158260121956,1267.92487530853,1670.06703126983,22.8158260121956,1267.92487530853,0,11
66,Ivan YAKIMUSHKIN,3482105,6244,m,22.5817229998906,1643.83814227638,1387.46395175939,0.995948714039629,1643.83814227638,21.585774285851,12
67,Alexey CHERVOTKIN,3482119,5103,m,22.2374498086707,1647.88501558115,1287.96110008685,0,1647.88501558115,22.2374498086707,13
62,Gleb RETIVYKH,3481163,3992,m,20.9239796201651,1194.34231153986,1657.11795593382,20.9239796201651,1194.34231153986,0,14
83,Dario COLOGNA,3510023,3983,m,17.4231896875447,1615.96177267551,1460.53285877448,0,1615.96177267551,17.4231896875447,15
47,Paal GOLBERG,3420909,6302,m,20.2823017430133,1567.99248784364,1547.42275211731,8.75951583503752,1567.99248784364,11.5227859079758,16
49,Sindre Bjoernestad SKAR,3421164,2023,m,16.1389651252601,1446.0138379667,1620.65750106819,16.1389651252601,1446.0138379667,0,17
69,Denis SPITSOV,3482280,3614,m,18.7060877529858,1618.67028577177,1382.84055731039,0.902969431364647,1618.67028577177,17.8031183216212,18
48,Martin Loewstroem NYENGET,3421154,1332,m,17.4972562008803,1616.49270176829,1395.64398616445,0,1616.49270176829,17.4972562008803,19
53,Erik VALNES,3422619,7008,m,18.1037150390488,1437.7583328337,1617.74550115282,15.7901743133403,1437.7583328337,2.31354072570852,20
19,Maurice MANIFICAT,3190111,3915,m,15.5147676484449,1601.57300683991,1290.07131338403,0.0240180846565664,1601.57300683991,15.4907495637883,21
65,Andrey MELNICHENKO,3481803,4149,m,15.4310898671258,1586.63379823467,1419.13007295187,1.79722845898294,1586.63379823467,13.6338614081429,22
23,Lucas CHANAVAT,3190323,4935,m,14.3070158929295,1206.43176806032,1604.88649270726,14.3070158929295,1206.43176806032,0,23
35,Andrew YOUNG,3220016,2346,m,13.5336393276687,1387.28481979188,1589.9309513806,12.6966561114071,1387.28481979188,0.836983216261604,24
76,Oskar SVENSSON,3501255,3801,m,13.2456369162433,1359.08094560445,1591.57255829696,12.8675055715906,1359.08094560445,0.378131344652686,25
14,Lauri VUORINEN,3180865,536,m,11.5648538651044,1197.69155717361,1578.68637118703,11.5648538651044,1197.69155717361,0,26
55,Harald Oestberg AMUNDSEN,3423264,1984,m,11.2938569714788,1565.38216647761,1300,0.0489434896091653,1565.38216647761,11.2449134818696,27
32,Jonas DOBLER,3200356,823,m,10.7076478411705,1560.2170493588,1179.28975499802,0,1560.2170493588,10.7076478411705,28
75,Jens BURMAN,3501223,2461,m,10.1204444065856,1554.38086170786,1224.64246383872,0,1554.38086170786,10.1204444065856,29
70,Alexander TERENTEV,3482806,3570,m,10.0533103826279,1330.6626587138,1561.16527347892,9.93214800694759,1330.6626587138,0.121162375680324,30
28,Hugo LAPALUS,3190529,1892,m,9.96114435789925,1552.76083600797,1224.01389647134,0,1552.76083600797,9.96114435789925,31
12,Iivo NISKANEN,3180535,8572,m,9.74884359953671,1544.92419025267,1360.84732337476,0.535903189391124,1544.92419025267,9.21294041014559,32
96,Kevin BOLGER,3530713,674,m,9.30826146957547,1181.19694614966,1553.98979330001,9.30826146957547,1181.19694614966,0,33
61,Andrey LARKOV,3481132,1239,m,7.99726733242657,1529.43255222091,1323.01142231355,0.156605018708655,1529.43255222091,7.84066231371791,34
87,Jovian HEDIGER,3510377,904,m,7.93287601974913,1194.49269991368,1537.01958477398,7.93287601974913,1194.49269991368,0,35
72,Calle HALFVARSSON,3500664,1134,m,7.81329994470196,1420.61605954778,1511.32242882923,6.10711905000973,1420.61605954778,1.70618089469223,36
52,Even NORTHUG,3422477,284,m,7.50884321379227,1300,1531.24162321757,7.49591896672012,1300,0.0129242470721469,37
36,James CLUGNET,3220033,560,m,7.5039430491119,1160.71279454608,1531.34962017852,7.5039430491119,1160.71279454608,0,38
30,Lucas BOEGL,3200205,1672,m,7.34515476523566,1523.41880453042,1149.58597018845,0,1523.41880453042,7.34515476523566,39
89,Roman SCHAAD,3510451,368,m,6.85483219217399,1224.39686587823,1522.36542902335,6.85483219217399,1224.39686587823,0,40
99,James Clinton SCHOONMAKER,3530910,1066,m,6.26589459262237,1263.53526705292,1513.73602582969,6.26589459262237,1263.53526705292,0,41
20,Adrien BACKSCHEIDER,3190268,952,m,5.77972742733077,1502.49633530094,1272.06028176673,0.00285708561513463,1502.49633530094,5.77687034171564,42
13,Perttu HYVARINEN,3180557,811,m,5.67459100451028,1498.39385586216,1326.16460655983,0.177752017600394,1498.39385586216,5.49683898690989,43
92,Janik RIEBLI,3510588,287,m,5.59848278120389,1300,1503.10287775522,5.58555853413174,1300,0.0129242470721469,44
22,Clement PARISSE,3190302,1847,m,5.34037785379078,1495.67239795797,1290.30219669788,0.0244753136893009,1495.67239795797,5.31590254010148,45
21,Renaud JAY,3190282,642,m,5.18998117978092,1264.21370987662,1496.53913957579,5.18998117978092,1264.21370987662,0,46
84,Jonas BAUMANN,3510342,480,m,5.02397666823494,1491.15381361161,1261.19070996575,0.0000921848465904095,1491.15381361161,5.02388448338835,47
16,Verneri SUHONEN,3181098,239,m,4.26114641599104,1190.45023997287,1479.77102278959,4.26114641599104,1190.45023997287,0,48
34,Friedrich MOCH,3200802,473,m,3.96193123045489,1472.25661501394,1300,0.0489434896091653,1472.25661501394,3.91298774084572,49
