,name,id,price,sex,points,elo,elo1,race1,place
19,Richard JOUVE,3190345,5136,m,36.5286535561682,1768.28935063829,1768.28935063829,36.5286535561682,1
34,Haavard Solaas TAUGBOEL,3421754,3497,m,26.4944486517478,1712.68600244007,1712.68600244007,26.4944486517478,2
27,Federico PELLEGRINO,3290326,7023,m,25.2109737843253,1704.6603806245,1704.6603806245,25.2109737843253,3
18,Lucas CHANAVAT,3190323,4149,m,23.7559116965959,1695.24295770112,1695.24295770112,23.7559116965959,4
41,Alexander BOLSHUNOV,3482277,18092,m,21.083117904252,1676.9454469913,1676.9454469913,21.083117904252,5
40,Gleb RETIVYKH,3481163,3484,m,20.7866751737504,1674.82750340766,1674.82750340766,20.7866751737504,6
42,Alexander TERENTEV,3482806,4006,m,19.8603064219063,1668.08331782235,1668.08331782235,19.8603064219063,7
35,Even NORTHUG,3422477,779,m,19.3446924183379,1664.2430596234,1664.2430596234,19.3446924183379,8
8,Michal NOVAK,3150570,3472,m,15.9000083435162,1636.75637898364,1636.75637898364,15.9000083435162,9
51,Roman SCHAAD,3510451,390,m,14.7129667300412,1626.41654559694,1626.41654559694,14.7129667300412,10
52,Valerio GROND,3510656,503,m,11.7029253070619,1597.57865612798,1597.57865612798,11.7029253070619,11
48,Marcus GRATE,3501340,1152,m,10.7650417890706,1587.64441829182,1587.64441829182,10.7650417890706,12
33,Sindre Bjoernestad SKAR,3421164,1689,m,10.416840280121,1583.81715738307,1583.81715738307,10.416840280121,13
32,Finn Haagen KROGH,3420961,620,m,10.1361090431233,1580.67218657464,1580.67218657464,10.1361090431233,14
45,Johan HAEGGSTROEM,3501010,1208,m,9.62310081925501,1574.77969758562,1574.77969758562,9.62310081925501,15
50,Jovian HEDIGER,3510377,806,m,9.34297310463024,1571.47795473652,1571.47795473652,9.34297310463024,16
17,Renaud JAY,3190282,512,m,8.76455277777108,1564.45681108282,1564.45681108282,8.76455277777108,17
55,Ben OGDEN,3530902,401,m,8.36924939230506,1559.48822681558,1559.48822681558,8.36924939230506,18
38,Maciej STAREGA,3430103,232,m,7.53572466648037,1548.50280333906,1548.50280333906,7.53572466648037,19
26,James CLUGNET,3220033,473,m,7.24569833895193,1544.50085775883,1544.50085775883,7.24569833895193,20
12,Lauri VUORINEN,3180865,1171,m,7.04572194432022,1541.68212992791,1541.68212992791,7.04572194432022,21
36,Thomas Helland LARSEN,3423291,797,m,6.59956454595493,1535.20580269884,1535.20580269884,6.59956454595493,22
11,Ondrej CERNY,3150664,212,m,5.23471610418467,1513.48206362296,1513.48206362296,5.23471610418467,23
13,Juuso HAARALA,3180990,214,m,4.75863483407145,1505.06579760245,1505.06579760245,4.75863483407145,24
