,name,id,price,sex,points,elo,avg_points,elo1,race1,place
19,Richard JOUVE,3190345,5136,m,29.8389557637928,1768.28935063829,35.1315789473684,1768.28935063829,29.8389557637928,1
27,Federico PELLEGRINO,3290326,7023,m,28.3103412817467,1704.6603806245,52.4266666666667,1704.6603806245,28.3103412817467,2
34,Haavard Solaas TAUGBOEL,3421754,3497,m,24.2797759186885,1712.68600244007,34.5,1712.68600244007,24.2797759186885,3
18,Lucas CHANAVAT,3190323,4149,m,23.8770093982992,1695.24295770112,38.6486486486487,1695.24295770112,23.8770093982992,4
41,Alexander BOLSHUNOV,3482277,18092,m,20.6965753691129,1676.9454469913,32.6818181818182,1676.9454469913,20.6965753691129,5
40,Gleb RETIVYKH,3481163,3484,m,19.0628419295196,1674.82750340766,27.469387755102,1674.82750340766,19.0628419295196,6
35,Even NORTHUG,3422477,779,m,16.9110955012877,1664.2430596234,22.8571428571429,1664.2430596234,16.9110955012877,7
33,Sindre Bjoernestad SKAR,3421164,1689,m,15.643372568249,1583.81715738307,40.9090909090909,1583.81715738307,15.643372568249,8
42,Alexander TERENTEV,3482806,4006,m,15.4738363862152,1668.08331782235,17.5,1668.08331782235,15.4738363862152,9
32,Finn Haagen KROGH,3420961,620,m,14.3116362643011,1580.67218657464,35.3571428571428,1580.67218657464,14.3116362643011,10
48,Marcus GRATE,3501340,1152,m,12.0492068793672,1587.64441829182,23.2222222222222,1587.64441829182,12.0492068793672,11
52,Valerio GROND,3510656,503,m,11.2256203039269,1597.57865612798,17.8,1597.57865612798,11.2256203039269,12
36,Thomas Helland LARSEN,3423291,797,m,10.8868633402373,1535.20580269884,31.6666666666667,1535.20580269884,10.8868633402373,13
45,Johan HAEGGSTROEM,3501010,1208,m,10.1831651683985,1574.77969758562,18.5,1574.77969758562,10.1831651683985,14
51,Roman SCHAAD,3510451,390,m,9.8022758998642,1626.41654559694,8.63414634146342,1626.41654559694,9.8022758998642,15
8,Michal NOVAK,3150570,3472,m,9.59902549374149,1636.75637898364,6.90909090909091,1636.75637898364,9.59902549374149,16
17,Renaud JAY,3190282,512,m,8.43327656675451,1564.45681108282,13.6964285714286,1564.45681108282,8.43327656675451,17
50,Jovian HEDIGER,3510377,806,m,7.86968554356171,1571.47795473652,10.5964912280702,1571.47795473652,7.86968554356171,18
55,Ben OGDEN,3530902,401,m,6.4513358458819,1559.48822681558,7.66666666666667,1559.48822681558,6.4513358458819,19
38,Maciej STAREGA,3430103,232,m,6.26034034218474,1548.50280333906,8.40983606557377,1548.50280333906,6.26034034218474,20
26,James CLUGNET,3220033,473,m,5.80524131501246,1544.50085775883,7.41666666666667,1544.50085775883,5.80524131501246,21
12,Lauri VUORINEN,3180865,1171,m,4.98275895035391,1541.68212992791,5.23076923076923,1541.68212992791,4.98275895035391,22
25,Andrew YOUNG,3220016,1947,m,4.25613042321049,1466.1422424576,11.7358490566038,1466.1422424576,4.25613042321049,23
11,Ondrej CERNY,3150664,212,m,4.21627757900477,1513.48206362296,5.6,1513.48206362296,4.21627757900477,24
56,James Clinton SCHOONMAKER,3530910,1572,m,4.07765005954956,1476.62123567829,9.33333333333333,1476.62123567829,4.07765005954956,25
28,Francesco DE FABIANI,3290379,2286,m,3.87584130338671,1468.70831763359,9.45454545454546,1468.70831763359,3.87584130338671,26
49,Gustaf BERGLUND,3501587,223,m,3.37641612844795,1492.4812471521,4.75,1492.4812471521,3.37641612844795,27
14,Verneri SUHONEN,3181098,252,m,3.11303149727794,1472.54729305896,5.63636363636364,1472.54729305896,3.11303149727794,28
13,Juuso HAARALA,3180990,214,m,2.96475020698884,1505.06579760245,2.6,1505.06579760245,2.96475020698884,29
16,Niilo MOILANEN,3181408,244,m,2.90410668635156,1476.27528595547,4.5,1476.27528595547,2.90410668635156,30
